,lat,lon
1,7.5,37.5
2,7.5,37.75
3,7.5,38.0
4,7.5,38.25
5,7.5,38.5
6,7.5,38.75
7,7.5,39.0
8,7.5,39.25
9,7.5,39.5
10,7.5,39.75
11,7.5,40.0
12,7.75,37.5
13,7.75,37.75
14,7.75,38.0
15,7.75,38.25
16,7.75,38.5
17,7.75,38.75
18,7.75,39.0
19,7.75,39.25
20,7.75,39.5
21,7.75,39.75
22,7.75,40.0
23,8.0,37.5
24,8.0,37.75
25,8.0,38.0
26,8.0,38.25
27,8.0,38.5
28,8.0,38.75
29,8.0,39.0
30,8.0,39.25
31,8.0,39.5
32,8.0,39.75
33,8.0,40.0
34,8.25,37.5
35,8.25,37.75
36,8.25,38.0
37,8.25,38.25
38,8.25,38.5
39,8.25,38.75
40,8.25,39.0
41,8.25,39.25
42,8.25,39.5
43,8.25,39.75
44,8.25,40.0
45,8.5,37.5
46,8.5,37.75
47,8.5,38.0
48,8.5,38.25
49,8.5,38.5
50,8.5,38.75
51,8.5,39.0
52,8.5,39.25
53,8.5,39.5
54,8.5,39.75
55,8.5,40.0
56,8.75,37.5
57,8.75,37.75
58,8.75,38.0
59,8.75,38.25
60,8.75,38.5
61,8.75,38.75
62,8.75,39.0
63,8.75,39.25
64,8.75,39.5
65,8.75,39.75
66,8.75,40.0
67,9.0,37.5
68,9.0,37.75
69,9.0,38.0
70,9.0,38.25
71,9.0,38.5
72,9.0,38.75
73,9.0,39.0
74,9.0,39.25
75,9.0,39.5
76,9.0,39.75
77,9.0,40.0
78,9.25,37.5
79,9.25,37.75
80,9.25,38.0
81,9.25,38.25
82,9.25,38.5
83,9.25,38.75
84,9.25,39.0
85,9.25,39.25
86,9.25,39.5
87,9.25,39.75
88,9.25,40.0
89,9.5,37.5
90,9.5,37.75
91,9.5,38.0
92,9.5,38.25
93,9.5,38.5
94,9.5,38.75
95,9.5,39.0
96,9.5,39.25
97,9.5,39.5
98,9.5,39.75
99,9.5,40.0
100,9.75,37.5
101,9.75,37.75
102,9.75,38.0
103,9.75,38.25
104,9.75,38.5
105,9.75,38.75
106,9.75,39.0
107,9.75,39.25
108,9.75,39.5
109,9.75,39.75
110,9.75,40.0
111,10.0,37.5
112,10.0,37.75
113,10.0,38.0
114,10.0,38.25
115,10.0,38.5
116,10.0,38.75
117,10.0,39.0
118,10.0,39.25
119,10.0,39.5
120,10.0,39.75
121,10.0,40.0
122,10.25,37.5
123,10.25,37.75
124,10.25,38.0
125,10.25,38.25
126,10.25,38.5
127,10.25,38.75
128,10.25,39.0
129,10.25,39.25
130,10.25,39.5
131,10.25,39.75
132,10.25,40.0
133,10.5,37.5
134,10.5,37.75
135,10.5,38.0
136,10.5,38.25
137,10.5,38.5
138,10.5,38.75
139,10.5,39.0
140,10.5,39.25
141,10.5,39.5
142,10.5,39.75
143,10.5,40.0
144,10.75,37.5
145,10.75,37.75
146,10.75,38.0
147,10.75,38.25
148,10.75,38.5
149,10.75,38.75
150,10.75,39.0
151,10.75,39.25
152,10.75,39.5
153,10.75,39.75
154,10.75,40.0
155,11.0,37.5
156,11.0,37.75
157,11.0,38.0
158,11.0,38.25
159,11.0,38.5
160,11.0,38.75
161,11.0,39.0
162,11.0,39.25
163,11.0,39.5
164,11.0,39.75
165,11.0,40.0
166,11.25,37.5
167,11.25,37.75
168,11.25,38.0
169,11.25,38.25
170,11.25,38.5
171,11.25,38.75
172,11.25,39.0
173,11.25,39.25
174,11.25,39.5
175,11.25,39.75
176,11.25,40.0
177,11.5,37.5
178,11.5,37.75
179,11.5,38.0
180,11.5,38.25
181,11.5,38.5
182,11.5,38.75
183,11.5,39.0
184,11.5,39.25
185,11.5,39.5
186,11.5,39.75
187,11.5,40.0
188,11.75,37.5
189,11.75,37.75
190,11.75,38.0
191,11.75,38.25
192,11.75,38.5
193,11.75,38.75
194,11.75,39.0
195,11.75,39.25
196,11.75,39.5
197,11.75,39.75
198,11.75,40.0
199,12.0,37.5
200,12.0,37.75
201,12.0,38.0
202,12.0,38.25
203,12.0,38.5
204,12.0,38.75
205,12.0,39.0
206,12.0,39.25
207,12.0,39.5
208,12.0,39.75
209,12.0,40.0
210,12.25,37.5
211,12.25,37.75
212,12.25,38.0
213,12.25,38.25
214,12.25,38.5
215,12.25,38.75
216,12.25,39.0
217,12.25,39.25
218,12.25,39.5
219,12.25,39.75
220,12.25,40.0
221,12.5,37.5
222,12.5,37.75
223,12.5,38.0
224,12.5,38.25
225,12.5,38.5
226,12.5,38.75
227,12.5,39.0
228,12.5,39.25
229,12.5,39.5
230,12.5,39.75
231,12.5,40.0
232,12.75,37.5
233,12.75,37.75
234,12.75,38.0
235,12.75,38.25
236,12.75,38.5
237,12.75,38.75
238,12.75,39.0
239,12.75,39.25
240,12.75,39.5
241,12.75,39.75
242,12.75,40.0
243,13.0,37.5
244,13.0,37.75
245,13.0,38.0
246,13.0,38.25
247,13.0,38.5
248,13.0,38.75
249,13.0,39.0
250,13.0,39.25
251,13.0,39.5
252,13.0,39.75
253,13.0,40.0
254,13.25,37.5
255,13.25,37.75
256,13.25,38.0
257,13.25,38.25
258,13.25,38.5
259,13.25,38.75
260,13.25,39.0
261,13.25,39.25
262,13.25,39.5
263,13.25,39.75
264,13.25,40.0
265,13.5,37.5
266,13.5,37.75
267,13.5,38.0
268,13.5,38.25
269,13.5,38.5
270,13.5,38.75
271,13.5,39.0
272,13.5,39.25
273,13.5,39.5
274,13.5,39.75
275,13.5,40.0
