,lat,lon,onset_threshold
1,3.0,33.0,20
2,3.0,33.25,20
3,3.0,33.5,20
4,3.0,33.75,20
5,3.0,34.0,20
6,3.0,34.25,20
7,3.0,34.5,20
8,3.0,34.75,20
9,3.0,35.0,20
10,3.0,35.25,20
11,3.0,35.5,20
12,3.0,35.75,20
13,3.0,36.0,20
14,3.0,36.25,20
15,3.0,36.5,20
16,3.0,36.75,20
17,3.0,37.0,20
18,3.0,37.25,20
19,3.0,37.5,20
20,3.0,37.75,20
21,3.0,38.0,20
22,3.0,38.25,20
23,3.0,38.5,20
24,3.0,38.75,20
25,3.0,39.0,20
26,3.0,39.25,20
27,3.0,39.5,20
28,3.0,39.75,20
29,3.0,40.0,20
30,3.0,40.25,20
31,3.0,40.5,20
32,3.0,40.75,20
33,3.0,41.0,20
34,3.0,41.25,20
35,3.0,41.5,20
36,3.0,41.75,20
37,3.0,42.0,20
38,3.0,42.25,20
39,3.0,42.5,20
40,3.0,42.75,20
41,3.0,43.0,20
42,3.0,43.25,20
43,3.0,43.5,20
44,3.0,43.75,20
45,3.0,44.0,20
46,3.0,44.25,20
47,3.0,44.5,20
48,3.0,44.75,20
49,3.0,45.0,20
50,3.0,45.25,20
51,3.0,45.5,20
52,3.0,45.75,20
53,3.0,46.0,20
54,3.0,46.25,20
55,3.0,46.5,20
56,3.0,46.75,20
57,3.0,47.0,20
58,3.0,47.25,20
59,3.0,47.5,20
60,3.0,47.75,20
61,3.0,48.0,20
62,3.25,33.0,20
63,3.25,33.25,20
64,3.25,33.5,20
65,3.25,33.75,20
66,3.25,34.0,20
67,3.25,34.25,20
68,3.25,34.5,20
69,3.25,34.75,20
70,3.25,35.0,20
71,3.25,35.25,20
72,3.25,35.5,20
73,3.25,35.75,20
74,3.25,36.0,20
75,3.25,36.25,20
76,3.25,36.5,20
77,3.25,36.75,20
78,3.25,37.0,20
79,3.25,37.25,20
80,3.25,37.5,20
81,3.25,37.75,20
82,3.25,38.0,20
83,3.25,38.25,20
84,3.25,38.5,20
85,3.25,38.75,20
86,3.25,39.0,20
87,3.25,39.25,20
88,3.25,39.5,20
89,3.25,39.75,20
90,3.25,40.0,20
91,3.25,40.25,20
92,3.25,40.5,20
93,3.25,40.75,20
94,3.25,41.0,20
95,3.25,41.25,20
96,3.25,41.5,20
97,3.25,41.75,20
98,3.25,42.0,20
99,3.25,42.25,20
100,3.25,42.5,20
101,3.25,42.75,20
102,3.25,43.0,20
103,3.25,43.25,20
104,3.25,43.5,20
105,3.25,43.75,20
106,3.25,44.0,20
107,3.25,44.25,20
108,3.25,44.5,20
109,3.25,44.75,20
110,3.25,45.0,20
111,3.25,45.25,20
112,3.25,45.5,20
113,3.25,45.75,20
114,3.25,46.0,20
115,3.25,46.25,20
116,3.25,46.5,20
117,3.25,46.75,20
118,3.25,47.0,20
119,3.25,47.25,20
120,3.25,47.5,20
121,3.25,47.75,20
122,3.25,48.0,20
123,3.5,33.0,20
124,3.5,33.25,20
125,3.5,33.5,20
126,3.5,33.75,20
127,3.5,34.0,20
128,3.5,34.25,20
129,3.5,34.5,20
130,3.5,34.75,20
131,3.5,35.0,20
132,3.5,35.25,20
133,3.5,35.5,20
134,3.5,35.75,20
135,3.5,36.0,20
136,3.5,36.25,20
137,3.5,36.5,20
138,3.5,36.75,20
139,3.5,37.0,20
140,3.5,37.25,20
141,3.5,37.5,20
142,3.5,37.75,20
143,3.5,38.0,20
144,3.5,38.25,20
145,3.5,38.5,20
146,3.5,38.75,20
147,3.5,39.0,20
148,3.5,39.25,20
149,3.5,39.5,20
150,3.5,39.75,20
151,3.5,40.0,20
152,3.5,40.25,20
153,3.5,40.5,20
154,3.5,40.75,20
155,3.5,41.0,20
156,3.5,41.25,20
157,3.5,41.5,20
158,3.5,41.75,20
159,3.5,42.0,20
160,3.5,42.25,20
161,3.5,42.5,20
162,3.5,42.75,20
163,3.5,43.0,20
164,3.5,43.25,20
165,3.5,43.5,20
166,3.5,43.75,20
167,3.5,44.0,20
168,3.5,44.25,20
169,3.5,44.5,20
170,3.5,44.75,20
171,3.5,45.0,20
172,3.5,45.25,20
173,3.5,45.5,20
174,3.5,45.75,20
175,3.5,46.0,20
176,3.5,46.25,20
177,3.5,46.5,20
178,3.5,46.75,20
179,3.5,47.0,20
180,3.5,47.25,20
181,3.5,47.5,20
182,3.5,47.75,20
183,3.5,48.0,20
184,3.75,33.0,20
185,3.75,33.25,20
186,3.75,33.5,20
187,3.75,33.75,20
188,3.75,34.0,20
189,3.75,34.25,20
190,3.75,34.5,20
191,3.75,34.75,20
192,3.75,35.0,20
193,3.75,35.25,20
194,3.75,35.5,20
195,3.75,35.75,20
196,3.75,36.0,20
197,3.75,36.25,20
198,3.75,36.5,20
199,3.75,36.75,20
200,3.75,37.0,20
201,3.75,37.25,20
202,3.75,37.5,20
203,3.75,37.75,20
204,3.75,38.0,20
205,3.75,38.25,20
206,3.75,38.5,20
207,3.75,38.75,20
208,3.75,39.0,20
209,3.75,39.25,20
210,3.75,39.5,20
211,3.75,39.75,20
212,3.75,40.0,20
213,3.75,40.25,20
214,3.75,40.5,20
215,3.75,40.75,20
216,3.75,41.0,20
217,3.75,41.25,20
218,3.75,41.5,20
219,3.75,41.75,20
220,3.75,42.0,20
221,3.75,42.25,20
222,3.75,42.5,20
223,3.75,42.75,20
224,3.75,43.0,20
225,3.75,43.25,20
226,3.75,43.5,20
227,3.75,43.75,20
228,3.75,44.0,20
229,3.75,44.25,20
230,3.75,44.5,20
231,3.75,44.75,20
232,3.75,45.0,20
233,3.75,45.25,20
234,3.75,45.5,20
235,3.75,45.75,20
236,3.75,46.0,20
237,3.75,46.25,20
238,3.75,46.5,20
239,3.75,46.75,20
240,3.75,47.0,20
241,3.75,47.25,20
242,3.75,47.5,20
243,3.75,47.75,20
244,3.75,48.0,20
245,4.0,33.0,20
246,4.0,33.25,20
247,4.0,33.5,20
248,4.0,33.75,20
249,4.0,34.0,20
250,4.0,34.25,20
251,4.0,34.5,20
252,4.0,34.75,20
253,4.0,35.0,20
254,4.0,35.25,20
255,4.0,35.5,20
256,4.0,35.75,20
257,4.0,36.0,20
258,4.0,36.25,20
259,4.0,36.5,20
260,4.0,36.75,20
261,4.0,37.0,20
262,4.0,37.25,20
263,4.0,37.5,20
264,4.0,37.75,20
265,4.0,38.0,20
266,4.0,38.25,20
267,4.0,38.5,20
268,4.0,38.75,20
269,4.0,39.0,20
270,4.0,39.25,20
271,4.0,39.5,20
272,4.0,39.75,20
273,4.0,40.0,20
274,4.0,40.25,20
275,4.0,40.5,20
276,4.0,40.75,20
277,4.0,41.0,20
278,4.0,41.25,20
279,4.0,41.5,20
280,4.0,41.75,20
281,4.0,42.0,20
282,4.0,42.25,20
283,4.0,42.5,20
284,4.0,42.75,20
285,4.0,43.0,20
286,4.0,43.25,20
287,4.0,43.5,20
288,4.0,43.75,20
289,4.0,44.0,20
290,4.0,44.25,20
291,4.0,44.5,20
292,4.0,44.75,20
293,4.0,45.0,20
294,4.0,45.25,20
295,4.0,45.5,20
296,4.0,45.75,20
297,4.0,46.0,20
298,4.0,46.25,20
299,4.0,46.5,20
300,4.0,46.75,20
301,4.0,47.0,20
302,4.0,47.25,20
303,4.0,47.5,20
304,4.0,47.75,20
305,4.0,48.0,20
306,4.25,33.0,20
307,4.25,33.25,20
308,4.25,33.5,20
