lat,lon
7.5,37.5
7.5,37.75
7.5,38.0
7.5,38.25
7.5,38.5
7.5,38.75
7.5,39.0
7.5,39.25
7.5,39.5
7.5,39.75
7.5,40.0
7.75,37.5
7.75,37.75
7.75,38.0
7.75,38.25
7.75,38.5
7.75,38.75
7.75,39.0
7.75,39.25
7.75,39.5
7.75,39.75
7.75,40.0
8.0,37.5
8.0,37.75
8.0,38.0
8.0,38.25
8.0,38.5
8.0,38.75
8.0,39.0
8.0,39.25
8.0,39.5
8.0,39.75
8.0,40.0
8.25,37.5
8.25,37.75
8.25,38.0
8.25,38.25
8.25,38.5
8.25,38.75
8.25,39.0
8.25,39.25
8.25,39.5
8.25,39.75
8.25,40.0
8.5,37.5
8.5,37.75
8.5,38.0
8.5,38.25
8.5,38.5
8.5,38.75
8.5,39.0
8.5,39.25
8.5,39.5
8.5,39.75
8.5,40.0
8.75,37.5
8.75,37.75
8.75,38.0
8.75,38.25
8.75,38.5
8.75,38.75
8.75,39.0
8.75,39.25
8.75,39.5
8.75,39.75
8.75,40.0
9.0,37.5
9.0,37.75
9.0,38.0
9.0,38.25
9.0,38.5
9.0,38.75
9.0,39.0
9.0,39.25
9.0,39.5
9.0,39.75
9.0,40.0
9.25,37.5
9.25,37.75
9.25,38.0
9.25,38.25
9.25,38.5
9.25,38.75
9.25,39.0
9.25,39.25
9.25,39.5
9.25,39.75
9.25,40.0
9.5,37.5
9.5,37.75
9.5,38.0
9.5,38.25
9.5,38.5
9.5,38.75
9.5,39.0
9.5,39.25
9.5,39.5
9.5,39.75
9.5,40.0
9.75,37.5
9.75,37.75
9.75,38.0
9.75,38.25
9.75,38.5
9.75,38.75
9.75,39.0
9.75,39.25
9.75,39.5
9.75,39.75
9.75,40.0
10.0,37.5
10.0,37.75
10.0,38.0
10.0,38.25
10.0,38.5
10.0,38.75
10.0,39.0
10.0,39.25
10.0,39.5
10.0,39.75
10.0,40.0
10.25,37.5
10.25,37.75
10.25,38.0
10.25,38.25
10.25,38.5
10.25,38.75
10.25,39.0
10.25,39.25
10.25,39.5
10.25,39.75
10.25,40.0
10.5,37.5
10.5,37.75
10.5,38.0
10.5,38.25
10.5,38.5
10.5,38.75
10.5,39.0
10.5,39.25
10.5,39.5
10.5,39.75
10.5,40.0
10.75,37.5
10.75,37.75
10.75,38.0
10.75,38.25
10.75,38.5
10.75,38.75
10.75,39.0
10.75,39.25
10.75,39.5
10.75,39.75
10.75,40.0
11.0,37.5
11.0,37.75
11.0,38.0
11.0,38.25
11.0,38.5
11.0,38.75
11.0,39.0
11.0,39.25
11.0,39.5
11.0,39.75
11.0,40.0
11.25,37.5
11.25,37.75
11.25,38.0
11.25,38.25
11.25,38.5
11.25,38.75
11.25,39.0
11.25,39.25
11.25,39.5
11.25,39.75
11.25,40.0
11.5,37.5
11.5,37.75
11.5,38.0
11.5,38.25
11.5,38.5
11.5,38.75
11.5,39.0
11.5,39.25
11.5,39.5
11.5,39.75
11.5,40.0
11.75,37.5
11.75,37.75
11.75,38.0
11.75,38.25
11.75,38.5
11.75,38.75
11.75,39.0
11.75,39.25
11.75,39.5
11.75,39.75
11.75,40.0
12.0,37.5
12.0,37.75
12.0,38.0
12.0,38.25
12.0,38.5
12.0,38.75
12.0,39.0
12.0,39.25
12.0,39.5
12.0,39.75
12.0,40.0
12.25,37.5
12.25,37.75
12.25,38.0
12.25,38.25
12.25,38.5
12.25,38.75
12.25,39.0
12.25,39.25
12.25,39.5
12.25,39.75
12.25,40.0
12.5,37.5
12.5,37.75
12.5,38.0
12.5,38.25
12.5,38.5
12.5,38.75
12.5,39.0
12.5,39.25
12.5,39.5
12.5,39.75
12.5,40.0
12.75,37.5
12.75,37.75
12.75,38.0
12.75,38.25
12.75,38.5
12.75,38.75
12.75,39.0
12.75,39.25
12.75,39.5
12.75,39.75
12.75,40.0
13.0,37.5
13.0,37.75
13.0,38.0
13.0,38.25
13.0,38.5
13.0,38.75
13.0,39.0
13.0,39.25
13.0,39.5
13.0,39.75
13.0,40.0
13.25,37.5
13.25,37.75
13.25,38.0
13.25,38.25
13.25,38.5
13.25,38.75
13.25,39.0
13.25,39.25
13.25,39.5
13.25,39.75
13.25,40.0
13.5,37.5
13.5,37.75
13.5,38.0
13.5,38.25
13.5,38.5
13.5,38.75
13.5,39.0
13.5,39.25
13.5,39.5
13.5,39.75
13.5,40.0
